
---------- Begin Simulation Statistics ----------
simSeconds                                   0.235534                       # Number of seconds simulated (Second)
simTicks                                 235534127500                       # Number of ticks simulated (Tick)
finalTick                                235534127500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4320.55                       # Real time elapsed on the host (Second)
hostTickRate                                 54514848                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2265428                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   231452                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     262042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        471068256                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.471068                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.122835                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1243687032                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1935                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1198332927                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3292                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            111525329                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         302747654                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  83                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           470961298                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.544440                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.927539                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  65853007     13.98%     13.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95877047     20.36%     34.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 100552451     21.35%     55.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  77896127     16.54%     72.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  52835441     11.22%     83.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  39086633      8.30%     91.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20045900      4.26%     96.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9905268      2.10%     98.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8909424      1.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             470961298                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1820148     12.98%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     12.98% # attempts to use FU when none available (Count)
